rank,playlist,artist_name,track_name,track popularity,artist genre,acousticness,danceability,energy,instrumentalness,valence,track_id
3,Top Songs - Brazil,MC Xenon,Sem Aliança no Dedo,83,deboxe,0.732,0.532,0.355,0.0,0.399,22sAwsBH0NoNJXnrBenQuO
4,Top Songs - Brazil,Israel & Rodolffo,Bombonzinho - Ao Vivo,71,arrocha,0.3,0.654,0.948,0.0,0.706,0SCMVUZ21uYYB8cc0ScfbV
5,Top Songs - Brazil,Treyce,Lovezinho,83,None,0.295,0.824,0.587,3.19e-06,0.605,5smr3wYPodiv8ogWy0DE6J
6,Top Songs - Brazil,Henrique & Juliano,Traumatizei - Ao Vivo Em Brasília,83,arrocha,0.13,0.483,0.91,0.0,0.576,0JIYoXtJfORxI6gRpHv6ZW
7,Top Songs - Brazil,Zé Neto & Cristiano,Oi Balde - Ao Vivo,81,arrocha,0.601,0.67,0.668,0.0,0.552,3mzbab4H0iZYkHggSEj0UX
8,Top Songs - Brazil,Leo Santana,Zona De Perigo,86,arrocha,0.748,0.805,0.767,1.66e-05,0.97,1jHgfC8T5KxUyC5Ldw6lk9
9,Top Songs - Brazil,WIU,Coração de Gelo,84,trap brasileiro,0.124,0.732,0.671,0.0,0.836,7nFvKgVumc9FcU97zGjjei
10,Top Songs - Brazil,Gustavo Mioto,Eu Gosto Assim - Ao Vivo,84,arrocha,0.149,0.636,0.909,0.0,0.61,4ASA1PZyWGbuc4d9N8OAcF
1,Top Songs - Vietnam,tlinh,nếu lúc đó,69,indie viet,0.332,0.632,0.615,0.000186,0.348,7wj9sGlHGTMQ28liyi48hz
2,Top Songs - Vietnam,AMEE,ưng quá chừng,60,v-pop,0.629,0.907,0.609,0.0574,0.756,2ZJTmYNOA8k21yUtLXJG57
3,Top Songs - Vietnam,GREY D,vaicaunoicokhiennguoithaydoi,65,v-pop,0.882,0.56,0.42,0.000605,0.585,25h0TqC9H3BcMA7KjK5nHK
4,Top Songs - Vietnam,RPT MCK,Anh Đã Ổn Hơn,62,vietnamese hip hop,0.726,0.703,0.28,0.000282,0.338,3YctJXK6kznnWl68TnYobN
5,Top Songs - Vietnam,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
6,Top Songs - Vietnam,Emcee L (Da LAB),Chuyện Đôi Ta (feat. Muộii),65,v-pop,0.724,0.517,0.467,0.0,0.453,4CUvVaAYuXtvYURLFz7EIL
7,Top Songs - Vietnam,RPT Orijinn,Don't Côi,60,vietnamese hip hop,0.816,0.808,0.41,0.0,0.361,3ukrFH17Zl6iEZ2QJ1Zwiy
8,Top Songs - Vietnam,Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],85,k-pop,0.158,0.71,0.879,0.00142,0.341,1RDvyOk4WtPCtoqciJwVn8
9,Top Songs - Vietnam,Tăng Duy Tân,Bật Tình Yêu Lên,61,v-pop,0.503,0.778,0.649,0.00801,0.619,62SFLTN7txImu8pQwBMP6A
10,Top Songs - Vietnam,Madihu,Vì Anh Đâu Có Biết,64,indie viet,0.861,0.775,0.358,0.0,0.524,6VXVYATpQXEIoZ97NnWCmn
1,Top Songs - Philippines,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
2,Top Songs - Philippines,SunKissed Lola,Pasilyo,80,pinoy indie rock,0.415,0.71,0.61,2.67e-05,0.404,0uZFcsx96wzbixsULmrg8o
3,Top Songs - Philippines,Jeff Grecia,Elevate,71,tagalog rap,0.535,0.894,0.63,0.0,0.6,7g0PwcVq4qNuum1ex9OO0N
4,Top Songs - Philippines,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
5,Top Songs - Philippines,SZA,Snooze,90,pop,0.141,0.559,0.551,0.0,0.392,4iZ4pt7kvcaH6Yo8UoZ4s2
6,Top Songs - Philippines,NewJeans,OMG,92,k-pop,0.357,0.804,0.771,3.07e-06,0.739,65FftemJ1DbbZ45DUfHJXE
7,Top Songs - Philippines,Adie,Mahika,77,None,0.742,0.635,0.451,0.0,0.601,47sq83n5WN22ZzYnGn8aTy
8,Top Songs - Philippines,d4vd,Here With Me,92,bedroom pop,0.534,0.574,0.469,9.21e-05,0.288,78Sw5GDo6AlGwTwanjXbGh
9,Top Songs - Philippines,Calein,Umaasa,75,pinoy city pop,0.295,0.627,0.433,0.393,0.353,4AULw1VRyJP17zMvwgTIUs
10,Top Songs - Philippines,The Weeknd,Reminder,86,canadian contemporary r&b,0.142,0.706,0.505,0.0,0.388,37F0uwRSrdzkBiuj0D5UHI
1,Top Songs - Taiwan,Ronghao Li,烏梅子醬,65,chinese singer-songwriter,0.502,0.484,0.546,0.0,0.333,4p9jbhD6N7HpuECGusu6iT
2,Top Songs - Taiwan,NewJeans,OMG,92,k-pop,0.357,0.804,0.771,3.07e-06,0.739,65FftemJ1DbbZ45DUfHJXE
3,Top Songs - Taiwan,WeiBird,"如果可以 - 電影""月老""主題曲",68,chinese r&b,0.241,0.54,0.54,0.0,0.372,72OVnXDzugvrCU25lMi9au
4,Top Songs - Taiwan,NewJeans,Ditto,90,k-pop,0.027,0.814,0.641,0.0,0.183,3r8RuvgbX9s7ammBn07D3W
5,Top Songs - Taiwan,Shi Shi,眼淚記得你 - 電影《想見你》主題曲,66,mandopop,0.666,0.37,0.322,0.0,0.0966,0USeB0Tykai3QZj5YAUclG
6,Top Songs - Taiwan,Jolin Tsai,親愛的對象 - 《關於我和鬼變成家人的那件事》電影主題曲,64,c-pop,0.702,0.586,0.474,0.0,0.189,70ywpHtaToCmnULRT9Vu4p
7,Top Songs - Taiwan,Ren Ran,飞鸟和蝉,65,mainland chinese pop,0.722,0.578,0.508,0.0,0.304,6XBL9naPxZjATbmGAWGJ9V
8,Top Songs - Taiwan,NewJeans,Hype Boy,86,k-pop,0.268,0.593,0.935,0.0,0.783,0a4MMyCrzT0En247IhqZbD
9,Top Songs - Taiwan,Marz23,情勒 GASLIGHT (feat. ØZI),60,mandopop,0.0655,0.491,0.829,0.0,0.545,5stKp2COHUza2lUl17xXRj
10,Top Songs - Taiwan,张远,嘉宾,67,chinese viral pop,0.672,0.309,0.434,0.0,0.427,1IVj6CsBbTgOEpo0W6hgwN
1,Top Songs - Germany,Udo Lindenberg,Komet,82,german pop,0.285,0.55,0.5,0.0,0.351,7oQepKHmXDaPC3rgeLRvQu
2,Top Songs - Germany,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
3,Top Songs - Germany,AYLIVA,Sie weiß (feat. Mero),80,None,0.517,0.792,0.679,1.49e-05,0.204,7DyDjhZMEIK5Ied4juTCyc
4,Top Songs - Germany,badmómzjay,Auf die Party,71,frauenrap,0.119,0.83,0.615,5.7e-05,0.7,5qDzKUTHCUiKhewBa9STsE
5,Top Songs - Germany,RIN,AMG,70,german cloud rap,0.0873,0.538,0.738,0.0,0.595,1cfRQnbM4Cf0xEt3mx2cQ6
6,Top Songs - Germany,Nina Chuba,Mangos mit Chili,68,hamburg hip hop,0.147,0.888,0.607,0.0,0.728,7AyE8MRf4dIK75mqqpks9S
7,Top Songs - Germany,Kwam.E,Hallow Kitty,72,german alternative rap,0.0243,0.933,0.522,0.0,0.624,3YONiGJ9VB9KvpXEHgLMjF
8,Top Songs - Germany,Luciano,Bamba (feat. Aitch & BIA),72,german drill,0.119,0.797,0.791,0.0,0.828,7sJNeWTXkZCEC7OnFMpGWL
9,Top Songs - Germany,David Guetta,I'm Good (Blue),93,big room,0.00383,0.561,0.965,7.07e-06,0.304,4uUG5RXrOk84mYEfFvj3cK
10,Top Songs - Germany,Peter Fox,Zukunft Pink (feat. Inéz),76,german pop,0.514,0.903,0.719,7.67e-05,0.639,4YxZQd3I4rj1nqkXgvpCk4
1,Top Songs - Colombia,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
2,Top Songs - Colombia,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
3,Top Songs - Colombia,Feid,CHORRITO PA LAS ANIMAS,89,colombian pop,0.114,0.743,0.831,6.43e-05,0.609,0CYTGMBYkwUxrj1MWDLrC5
4,Top Songs - Colombia,KAROL G,MIENTRAS ME CURO DEL CORA,86,reggaeton,0.855,0.523,0.477,0.0,0.57,6otePxalBK8AVa20xhZYVQ
5,Top Songs - Colombia,Ozuna,Hey Mor,90,puerto rican pop,0.00302,0.901,0.589,0.000237,0.399,1zsPaEkglFvxjAhrM8yhpr
6,Top Songs - Colombia,Feid,Feliz Cumpleaños Ferxxo,87,colombian pop,0.0863,0.865,0.573,0.0,0.563,2CeKVsFFXG4QzA415QygGb
7,Top Songs - Colombia,KAROL G,X SI VOLVEMOS,84,reggaeton,0.334,0.794,0.807,0.0,0.575,4NoOME4Dhf4xgxbHDT7VGe
8,Top Songs - Colombia,Arcángel,La Jumpa,86,latin hip hop,0.111,0.887,0.234,0.67,0.197,2mnXxnrX5vCGolNkaFvVeM
9,Top Songs - Colombia,Feid,Normal,83,colombian pop,0.034,0.709,0.56,0.0,0.541,0T2pB7P1VdXPhLdQZ488uH
10,Top Songs - Colombia,Manuel Turizo,La Bachata,93,colombian pop,0.583,0.835,0.679,1.98e-06,0.85,5ww2BF9slyYgNOk37BlC4u
1,Top Songs - Argentina,Big One,En La Intimidad | CROSSOVER #1,83,None,0.0924,0.804,0.555,0.0,0.64,7w7BrPbOjF5OxChs2dxFve
2,Top Songs - Argentina,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
3,Top Songs - Argentina,BM,M.A (Mejores Amigos),82,previa,0.298,0.746,0.729,0.0,0.755,1eIDsKCLwZF6CJK8pOgHX5
4,Top Songs - Argentina,TINI,Cupido,79,latin pop,0.521,0.913,0.584,5.36e-05,0.627,04ndZkbKGthTgYSv3xS7en
5,Top Songs - Argentina,LiL CaKe,MERCHO,88,trap argentino,0.431,0.838,0.79,3.33e-06,0.962,1DxEbt6OSbrkRthk6pjZue
6,Top Songs - Argentina,Luck Ra,Ya No Vuelvas (Versión Cuarteto),81,trap argentino,0.224,0.736,0.9,0.0,0.562,6jRZ33ifS5VOTMwmPxhPhN
7,Top Songs - Argentina,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
8,Top Songs - Argentina,Taiu,Rara Vez,85,None,0.176,0.838,0.708,0.0,0.96,7MVIfkyzuUmQ716j8U7yGR
9,Top Songs - Argentina,TINI,Muñecas,74,latin pop,0.0288,0.688,0.712,0.0,0.852,4yPmTUkWmUfLPQLCccp0DR
10,Top Songs - Argentina,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,argentine hip hop,0.274,0.778,0.632,0.0,0.498,4nrPB8O7Y7wsOCJdgXkthe
1,Top Songs - Spain,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
2,Top Songs - Spain,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
3,Top Songs - Spain,LiL CaKe,MERCHO,88,trap argentino,0.431,0.838,0.79,3.33e-06,0.962,1DxEbt6OSbrkRthk6pjZue
4,Top Songs - Spain,Quevedo,PLAYA DEL INGLÉS,82,rap canario,0.0822,0.793,0.736,0.0,0.656,0Sfn2TYbpQtCGMBf6C0Y6T
5,Top Songs - Spain,Marshmello,El Merengue,84,brostep,0.0313,0.775,0.677,0.00517,0.698,51FvjPEGKq2zByeeEQ43V9
6,Top Songs - Spain,Quevedo,WANDA,85,rap canario,0.249,0.724,0.631,0.0,0.957,0Iozrbed8spxoBnmtBMshO
7,Top Songs - Spain,Manuel Turizo,La Bachata,93,colombian pop,0.583,0.835,0.679,1.98e-06,0.85,5ww2BF9slyYgNOk37BlC4u
8,Top Songs - Spain,TINI,Cupido,79,latin pop,0.521,0.913,0.584,5.36e-05,0.627,04ndZkbKGthTgYSv3xS7en
9,Top Songs - Spain,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,argentine hip hop,0.274,0.778,0.632,0.0,0.498,4nrPB8O7Y7wsOCJdgXkthe
10,Top Songs - Spain,Quevedo,PUNTO G,84,rap canario,0.251,0.751,0.761,0.000238,0.553,4WiQA1AGWHFvaxBU6bHghs
1,Top Songs - Dominican Republic,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
2,Top Songs - Dominican Republic,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
3,Top Songs - Dominican Republic,Arcángel,La Jumpa,86,latin hip hop,0.111,0.887,0.234,0.67,0.197,2mnXxnrX5vCGolNkaFvVeM
4,Top Songs - Dominican Republic,Ozuna,Hey Mor,90,puerto rican pop,0.00302,0.901,0.589,0.000237,0.399,1zsPaEkglFvxjAhrM8yhpr
