acousticness,danceability,energy,instrumentalness,valence
0.661,0.319,0.432,0.0,0.244
0.534,0.574,0.469,9.21e-05,0.288
0.873,0.35,0.323,1.48e-06,0.278
0.876,0.593,0.287,0.000136,0.191
0.695,0.593,0.352,2.22e-05,0.226
0.521,0.579,0.341,0.103,0.375
0.0997,0.495,0.702,9.69e-06,0.461
0.532,0.681,0.821,0.00111,0.813
0.00327,0.818,0.69,0.0,0.688
0.357,0.804,0.771,3.07e-06,0.739
0.227,0.575,0.5,0.0,0.506
0.526,0.77,0.677,0.000483,0.942
0.0473,0.828,0.921,0.0,0.74
0.409,0.544,0.582,4.47e-06,0.359
0.027,0.814,0.641,0.0,0.183
0.185,0.636,0.688,0.0,0.743
0.0632,0.707,0.681,5.15e-06,0.646
0.0807,0.544,0.643,0.0,0.565
0.173,0.648,0.785,0.00383,0.239
0.634,0.37,0.497,0.0,0.101
0.116,0.8,0.589,0.0,0.272
0.161,0.787,0.564,1.86e-06,0.718
0.334,0.724,0.525,4.51e-06,0.427
0.297,0.898,0.694,0.0,0.895
0.173,0.666,0.668,2.96e-06,0.454
0.0632,0.707,0.681,5.15e-06,0.646
0.252,0.696,0.809,0.000128,0.857
0.0378,0.636,0.869,0.0446,0.306
0.473,0.516,0.322,0.00194,0.261
0.138,0.538,0.742,4.67e-05,0.25
0.0521,0.644,0.735,0.144,0.418
0.227,0.575,0.5,0.0,0.506
0.03,0.954,0.516,7.54e-06,0.624
0.13,0.637,0.643,1.8e-06,0.533
0.0708,0.571,0.761,0.0,0.681
0.673,0.72,0.63,0.0,0.607
0.0492,0.783,0.729,0.000272,0.58
0.0863,0.865,0.573,0.0,0.563
0.00302,0.901,0.589,0.000237,0.399
0.114,0.743,0.831,6.43e-05,0.609
0.583,0.835,0.679,1.98e-06,0.85
0.274,0.778,0.632,0.0,0.498
0.034,0.709,0.56,0.0,0.541
0.111,0.887,0.234,0.67,0.197
0.458,0.637,0.768,0.00192,0.297
0.673,0.72,0.63,0.0,0.607
0.0492,0.783,0.729,0.000272,0.58
0.0863,0.865,0.573,0.0,0.563
0.00302,0.901,0.589,0.000237,0.399
0.114,0.743,0.831,6.43e-05,0.609
0.274,0.778,0.632,0.0,0.498
0.583,0.835,0.679,1.98e-06,0.85
0.176,0.838,0.708,0.0,0.96
0.173,0.765,0.872,5.65e-06,0.722
0.458,0.637,0.768,0.00192,0.297
0.354,0.756,0.399,0.0,0.409
0.339,0.77,0.453,0.0,0.801
0.712,0.534,0.624,0.000132,0.642
0.528,0.709,0.689,0.0147,0.523
0.592,0.694,0.569,0.0,0.374
0.443,0.609,0.399,0.0633,0.36
0.486,0.598,0.654,9.7e-06,0.536
0.165,0.852,0.543,0.0,0.69
0.019,0.804,0.73,0.000177,0.442
0.688,0.744,0.636,0.131,0.67
0.673,0.72,0.63,0.0,0.607
0.0492,0.783,0.729,0.000272,0.58
0.209,0.903,0.713,0.0,0.73
0.334,0.794,0.807,0.0,0.575
0.0727,0.834,0.628,2.96e-05,0.914
0.00302,0.901,0.589,0.000237,0.399
0.855,0.523,0.477,0.0,0.57
0.138,0.734,0.728,0.0,0.583
0.0863,0.865,0.573,0.0,0.563
0.583,0.835,0.679,1.98e-06,0.85
0.467,0.492,0.675,0.0,0.478
0.0632,0.707,0.681,5.15e-06,0.646
0.252,0.696,0.809,0.000128,0.857
0.0521,0.644,0.735,0.144,0.418
0.227,0.575,0.5,0.0,0.506
0.417,0.715,0.62,0.0,0.172
0.382,0.801,0.806,0.000669,0.802
0.00383,0.561,0.965,7.07e-06,0.304
0.03,0.954,0.516,7.54e-06,0.624
0.000525,0.613,0.803,0.000333,0.461
0.0632,0.707,0.681,5.15e-06,0.646
0.417,0.715,0.62,0.0,0.172
0.00383,0.561,0.965,7.07e-06,0.304
0.0318,0.844,0.55,0.00117,0.788
0.252,0.696,0.809,0.000128,0.857
0.717,0.442,0.538,2.95e-05,0.139
0.0156,0.748,0.579,1.37e-05,0.625
0.342,0.52,0.731,0.00101,0.662
0.0128,0.587,0.742,0.00107,0.199
0.227,0.575,0.5,0.0,0.506
0.243,0.545,0.779,1.66e-06,0.303
0.000556,0.448,0.917,0.0,0.381
0.524,0.562,0.43,0.676,0.265
0.0495,0.572,0.734,0.0,0.0867
0.185,0.649,0.81,0.0,0.764
0.029,0.585,0.781,0.0,0.288
0.284,0.818,0.506,0.145,0.636
0.0837,0.481,0.827,0.0,0.397
0.16,0.597,0.562,0.000528,0.169
0.25,0.823,0.891,0.0,0.868
0.0632,0.707,0.681,5.15e-06,0.646
0.285,0.55,0.5,0.0,0.351
0.517,0.792,0.679,1.49e-05,0.204
0.00383,0.561,0.965,7.07e-06,0.304
0.119,0.797,0.791,0.0,0.828
0.0243,0.933,0.522,0.0,0.624
0.0873,0.538,0.738,0.0,0.595
0.717,0.442,0.538,2.95e-05,0.139
0.0642,0.892,0.503,0.0,0.615
0.209,0.637,0.678,0.0,0.254
0.111,0.793,0.718,1.33e-06,0.557
0.23,0.556,0.582,0.0,0.561
